,name,rating,date,one,two,three,four,five,tag,tag_name,region,region_name,era,is_made_in_china,log10_proportion
6489,狼行者 Wolfwalkers(2020),7.7,2020-09-12,18.2,52.6,26.9,2.1,0.1,tag3,冒险,region1, 爱尔兰 ,2020s,0.0,1.2600713879850747
6490,普吉岛的最后黄昏 แปลรักฉันด้วยใจเธอ Side Story(2021),8.8,2021-05-20,54.6,32.1,10.6,1.8,0.9,tag3,爱情,region1, 泰国,2020s,0.0,1.7371926427047373
6491,一个星期四 A Thursday(2022),7.7,2022-02-17,21.6,46.5,28.2,3.1,0.6,tag3,犯罪,region1, 印度,2020s,0.0,1.334453751150931
6492,赘婿之吉兴高照(2021),5.9,2021-08-13,4.4,13.1,58.5,19.1,5.0,tag3,爱情,region1, 中国大陆,2020s,1.0,0.6434526764861874
6493,熊出没·狂野大陆(2020),6.3,2020-08-01,6.5,20.4,54.8,16.2,2.1,tag3,动画,region1, 中国大陆,2020s,1.0,0.8129133566428556
6494,暗夜狼人 Werewolf by Night(2022),6.5,2022-10-07,9.5,24.7,50.5,12.4,2.9,tag3,悬疑,region1, 美国,2020s,0.0,0.9777236052888477
6495,末日逃生 Greenland(2020),5.4,2020-07-29,2.2,10.3,49.3,31.9,6.3,tag3,灾难,region1, 美国 ,2020s,0.0,0.3424226808222063
6496,鬼吹灯之龙岭迷窟(2020),2.9,2020-04-02,1.4,2.2,5.9,21.9,68.6,tag3,冒险,region1, 中国大陆,2020s,1.0,0.146128035678238
6497,未来罪行 Crimes of the Future(2022),6.2,2022-05-23,7.7,24.0,44.3,18.7,5.3,tag3,恐怖,region1, 加拿大 ,2020s,0.0,0.8864907251724818
6498,乌海(2020),5.7,2020-09-24,3.1,16.6,48.5,26.9,5.0,tag3,悬疑,region1, 中国大陆,2020s,1.0,0.4913616938342727
6499,蒂尔 Till(2022),6.9,2022-10-01,10.8,35.2,44.8,7.2,2.0,tag3,历史,region1, 美国,2020s,0.0,1.0334237554869496
6500,神迹 The Wonder(2022),6.5,2022-09-02,6.2,28.8,52.9,9.8,2.3,tag3,惊悚,region1, 爱尔兰 ,2020s,0.0,0.7923916894982539
6501,电锯惊魂9：漩涡 Spiral: From the Book of Saw(2021),5.3,2021-05-14,4.6,9.8,40.7,33.5,11.3,tag3,恐怖,region1, 美国 ,2020s,0.0,0.6627578316815741
6502,菊石 Ammonite(2020),7.2,2020-09-11,14.7,37.5,42.3,5.0,0.5,tag3,同性,region1, 英国 ,2020s,0.0,1.167317334748176
6503,蜡笔小新：激战！涂鸦王国和约四位勇士 映画クレヨンしんちゃん 激突！ラクガキングダムとほぼ四人の勇者(2020),8.6,2020-09-11,48.9,35.4,13.5,1.6,0.5,tag3,冒险,region1, 日本,2020s,0.0,1.6893088591236203
6504,济公之降龙降世(2021),4.4,2021-07-16,1.3,4.8,29.8,43.0,21.0,tag3,冒险,region1, 中国大陆,2020s,1.0,0.11394335230683679
6505,星际穿越 Interstellar(2014),9.4,2014-11-07,74.5,21.1,3.8,0.4,0.2,tag3,冒险,region1, 美国 ,2010s,0.0,1.8721562727482928
6506,疯狂动物城 Zootopia(2016),9.2,2016-03-04,66.0,29.2,4.5,0.2,0.1,tag3,冒险,region1, 美国,2010s,0.0,1.8195439355418688
6507,寻梦环游记 Coco(2017),9.1,2017-11-22,62.0,30.5,6.8,0.4,0.2,tag3,音乐,region1, 美国,2010s,0.0,1.792391689498254
6508,绿皮书 Green Book(2018),8.9,2018-09-11,54.9,37.5,7.1,0.4,0.1,tag3,音乐,region1, 美国 ,2010s,0.0,1.739572344450092
6509,怦然心动 Flipped(2010),9.1,2010-07-26,62.2,30.6,6.6,0.5,0.1,tag3,爱情,region1, 美国,2010s,0.0,1.7937903846908188
6510,摔跤吧！爸爸 Dangal(2016),9.0,2016-12-23,59.6,33.0,6.8,0.5,0.2,tag3,传记,region1, 印度,2010s,0.0,1.7752462597402365
6511,让子弹飞(2010),9.0,2010-12-16,59.0,31.9,8.1,0.7,0.3,tag3,动作,region1, 中国大陆 ,2010s,1.0,1.7708520116421442
6512,哪吒之魔童降世(2019),8.4,2019-07-13,42.4,39.1,15.5,2.2,0.8,tag3,动画,region1, 中国大陆,2010s,1.0,1.6273658565927327
6513,盗梦空间 Inception(2010),9.4,2010-07-16,72.3,23.8,3.5,0.2,0.1,tag3,悬疑,region1, 美国 ,2010s,0.0,1.8591382972945307
6514,流浪地球(2019),7.9,2019-02-05,34.8,36.3,21.4,4.8,2.6,tag3,灾难,region1, 中国大陆,2010s,1.0,1.541579243946581
6515,釜山行 부산행(2016),8.6,2016-05-13,43.3,44.6,11.0,0.8,0.3,tag3,灾难,region1, 韩国,2010s,0.0,1.6364878963533653
6516,少年的你(2019),8.2,2019-10-25,34.0,46.6,16.1,2.1,1.3,tag3,犯罪,region1, 中国大陆 ,2010s,1.0,1.5314789170422551
6517,头号玩家 Ready Player One(2018),8.7,2018-03-11,48.5,37.8,11.9,1.3,0.4,tag3,冒险,region1, 美国,2010s,0.0,1.6857417386022637
6518,利刃出鞘 Knives Out(2019),8.1,2019-09-07,26.3,54.8,17.6,1.1,0.2,tag3,悬疑,region1, 美国,2010s,0.0,1.4199557484897578
6519,超能陆战队 Big Hero 6(2014),8.7,2014-10-23,48.3,40.9,10.1,0.6,0.1,tag3,科幻,region1, 美国,2010s,0.0,1.6839471307515121
6520,海蒂和爷爷 Heidi(2015),9.3,2015-12-10,69.3,25.9,4.4,0.3,0.1,tag3,冒险,region1, 德国 ,2010s,0.0,1.8407332346118068
6521,看不见的客人 Contratiempo(2016),8.8,2016-09-23,48.5,41.7,9.2,0.5,0.1,tag3,惊悚,region1, 西班牙,2010s,0.0,1.6857417386022637
6522,少年派的奇幻漂流 Life of Pi(2012),9.1,2012-09-28,61.5,31.5,6.4,0.4,0.2,tag3,冒险,region1, 美国 ,2010s,0.0,1.7888751157754168
6523,神偷奶爸 Despicable Me(2010),8.6,2010-06-20,44.5,44.1,10.8,0.5,0.1,tag3,冒险,region1, 美国 ,2010s,0.0,1.6483600109809315
6524,唐人街探案(2015),7.7,2015-12-31,20.6,49.6,25.7,3.1,1.0,tag3,悬疑,region1, 中国大陆,2010s,1.0,1.3138672203691535
6525,唐人街探案2(2018),6.6,2018-02-16,8.5,31.5,44.7,11.7,3.5,tag3,悬疑,region1, 中国大陆,2010s,1.0,0.9294189257142927
6526,华尔街之狼 The Wolf of Wall Street(2013),8.1,2013-12-17,28.7,48.2,20.6,2.0,0.5,tag3,犯罪,region1, 美国,2010s,0.0,1.4578818967339924
6527,复仇者联盟4：终局之战 Avengers: Endgame(2019),8.5,2019-04-24,46.4,35.1,15.6,2.0,0.9,tag3,科幻,region1, 美国,2010s,0.0,1.6665179805548809
6528,爱乐之城 La La Land(2016),8.4,2016-08-31,43.1,37.9,16.1,2.2,0.6,tag3,歌舞,region1, 美国,2010s,0.0,1.6344772701607315
6529,美人鱼(2016),6.7,2016-02-08,12.6,28.9,42.8,12.0,3.8,tag3,奇幻,region1, 中国大陆 ,2010s,1.0,1.100370545117563
6530,疯狂原始人 The Croods(2013),8.7,2013-02-15,46.5,41.5,11.2,0.6,0.1,tag3,冒险,region1, 美国,2010s,0.0,1.667452952889954
6531,误杀(2019),7.5,2019-12-07,15.6,50.0,29.5,3.9,0.9,tag3,犯罪,region1, 中国大陆,2010s,1.0,1.1931245983544616
6532,小丑 Joker(2019),8.7,2019-08-31,50.3,37.8,10.2,1.2,0.6,tag3,犯罪,region1, 美国 ,2010s,0.0,1.7015679850559273
6533,布达佩斯大饭店 The Grand Budapest Hotel(2014),8.9,2014-02-06,54.6,36.3,8.3,0.7,0.2,tag3,冒险,region1, 美国 ,2010s,0.0,1.7371926427047373
6534,禁闭岛 Shutter Island(2010),8.9,2010-02-13,52.1,39.6,7.8,0.5,0.1,tag3,惊悚,region1, 美国,2010s,0.0,1.7168377232995244
6535,调音师 Andhadhun(2018),8.2,2018-10-05,32.2,49.0,16.7,1.8,0.3,tag3,惊悚,region1, 印度,2010s,0.0,1.507855871695831
6536,大鱼海棠(2016),7.0,2016-07-08,17.6,31.9,35.9,10.6,4.1,tag3,奇幻,region1, 中国大陆,2010s,1.0,1.24551266781415
6537,中国机长(2019),6.6,2019-09-30,9.4,29.6,44.7,13.4,2.8,tag3,灾难,region1, 中国大陆,2010s,1.0,0.9731278535996987
6538,消失的爱人 Gone Girl(2014),8.7,2014-09-26,47.8,42.7,8.7,0.6,0.2,tag3,惊悚,region1, 美国,2010s,0.0,1.6794278966121188
6539,驯龙高手 How to Train Your Dragon(2010),8.8,2010-03-18,48.6,41.4,9.6,0.4,0.1,tag3,冒险,region1, 美国,2010s,0.0,1.6866362692622934
6540,时空恋旅人 About Time(2013),8.8,2013-09-04,52.1,37.0,10.0,0.7,0.2,tag3,奇幻,region1, 英国,2010s,0.0,1.7168377232995244
6541,初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก(2010),8.5,2010-08-12,41.7,41.8,14.8,1.3,0.3,tag3,爱情,region1, 泰国,2010s,0.0,1.6201360549737576
6542,白日梦想家 The Secret Life of Walter Mitty(2013),8.5,2013-12-25,43.5,41.8,13.4,1.1,0.2,tag3,冒险,region1, 美国 ,2010s,0.0,1.6384892569546374
6543,白蛇：缘起(2019),7.8,2019-01-11,23.8,45.4,27.1,3.3,0.5,tag3,奇幻,region1, 中国大陆 ,2010s,1.0,1.376576957056512
6544,毒液：致命守护者 Venom(2018),7.2,2018-10-05,11.8,42.0,40.2,5.3,0.7,tag3,惊悚,region1, 美国 ,2010s,0.0,1.0718820073061255
6545,请以你的名字呼唤我 Call Me by Your Name(2017),8.9,2017-01-22,56.1,33.1,9.3,1.0,0.4,tag3,同性,region1, 意大利 ,2010s,0.0,1.7489628612561614
6546,复仇者联盟3：无限战争 Avengers: Infinity War(2018),8.1,2018-04-23,33.4,43.5,19.8,2.4,0.9,tag3,奇幻,region1, 美国,2010s,0.0,1.5237464668115646
6547,火星救援 The Martian(2015),8.5,2015-10-02,39.0,48.6,11.5,0.7,0.2,tag3,冒险,region1, 英国 ,2010s,0.0,1.591064607026499
6548,复仇者联盟 The Avengers(2012),8.2,2012-05-04,34.4,46.2,17.4,1.6,0.5,tag3,奇幻,region1, 美国,2010s,0.0,1.5365584425715302
